applicant_id,credit_score,annual_income,loan_amount,dti_ratio,employment_tenure,default
APP00173,698,60176,38469,0.16,7,0
APP00174,683,31452,12425,0.49,4,0
APP00175,554,87605,38367,0.57,3,1
APP00176,695,83799,6157,0.46,4,0
APP00177,388,62572,24550,0.32,9,1
APP00178,796,74058,31685,0.54,1,1
APP00179,576,34219,23366,0.36,8,0
APP00180,816,133353,35292,0.47,17,0
APP00181,383,187669,12771,0.51,16,0
APP00182,574,147436,30705,0.47,13,0
APP00183,683,106195,32596,0.24,18,0
APP00184,573,101446,32056,0.16,16,0
APP00185,545,82281,15176,0.22,13,0
APP00186,391,54209,15964,0.35,18,0
APP00187,509,131741,13632,0.35,2,0
APP00188,431,126309,23627,0.39,17,1
APP00189,466,31243,29712,0.3,6,1
APP00190,676,100639,18764,0.49,15,0
APP00191,647,77264,21089,0.56,19,0
APP00192,634,58948,15034,0.22,10,0
APP00193,499,149516,11724,0.47,1,0
APP00194,828,119390,33215,0.44,7,0
APP00195,348,137741,40987,0.36,8,1
APP00196,488,151292,15244,0.19,19,0
APP00197,365,196907,43168,0.5,19,1
APP00198,486,166470,28978,0.58,11,1
APP00199,830,135461,9217,0.46,19,0
APP00200,501,179434,18934,0.56,9,0
APP00201,800,111176,1367,0.59,8,0
APP00202,572,197411,2919,0.28,17,0
APP00203,685,159444,17470,0.42,14,0
APP00204,552,140650,23269,0.34,10,0
APP00205,446,183566,40078,0.59,9,1
APP00206,721,117563,7580,0.15,14,0
APP00207,834,152519,42120,0.31,15,0
APP00208,445,78404,12491,0.54,10,1
APP00209,729,193746,7778,0.24,0,0
APP00210,443,135973,35295,0.49,2,1
APP00211,695,162941,38943,0.29,3,0
APP00212,734,108325,30641,0.59,9,0
APP00213,547,177357,6669,0.54,12,0
APP00214,706,42610,6652,0.25,16,0
APP00215,450,49397,20113,0.49,4,0
APP00216,343,116210,23079,0.27,16,0
APP00217,353,154511,49932,0.4,13,1
APP00218,546,167568,15037,0.43,1,0
APP00219,797,104815,10437,0.51,7,0
APP00220,370,140445,47350,0.11,6,1
APP00221,551,124028,8544,0.21,18,0
APP00222,687,193459,2293,0.46,19,0
APP00223,411,141198,21717,0.38,17,0
APP00224,697,100863,20653,0.35,11,0
APP00225,468,194869,31364,0.13,10,0
APP00226,745,48233,44009,0.27,6,0
APP00227,619,197379,46713,0.53,16,0
APP00228,601,56182,15192,0.12,1,0
APP00229,397,78999,49061,0.3,5,1
APP00230,555,169650,32001,0.57,2,0
APP00231,771,154738,4412,0.13,10,0
APP00232,310,194961,46984,0.47,6,1
APP00233,717,157497,7762,0.23,4,0
APP00234,571,138292,29841,0.53,7,0
APP00235,696,88904,39746,0.47,18,0
APP00236,665,30801,13222,0.54,11,0
APP00237,538,51057,14261,0.21,17,0
APP00238,470,80622,24333,0.37,19,0
APP00239,645,36961,44358,0.49,18,0
APP00240,377,116391,11956,0.22,7,0
APP00241,621,162149,33509,0.22,18,0
APP00242,352,193754,23177,0.11,19,0
APP00243,658,113249,6480,0.58,20,0
APP00244,646,178751,35833,0.46,7,0
APP00245,346,197542,41794,0.42,4,1
APP00246,717,176171,29206,0.47,12,0
APP00247,529,109045,9641,0.37,19,0
APP00248,733,85294,8630,0.34,18,0
APP00249,322,196246,21751,0.32,11,0
APP00250,398,71125,25815,0.42,3,0
APP00251,572,99968,28057,0.2,8,0
APP00252,403,42585,12939,0.54,14,1
APP00253,481,164926,25538,0.51,11,0
APP00254,663,140472,15459,0.27,7,0
APP00255,379,44419,34622,0.39,7,1
APP00256,673,67727,40028,0.17,1,0
APP00257,356,124429,32982,0.59,6,1
APP00258,396,121870,1061,0.55,14,0
APP00259,623,166350,49611,0.56,5,1
APP00260,737,75236,2164,0.27,20,0
APP00261,393,187200,49972,0.18,1,0
APP00262,465,105560,2556,0.21,12,0
APP00263,809,169839,26307,0.15,10,0
APP00264,845,70525,6192,0.16,17,0
APP00265,620,36285,5664,0.14,18,0
APP00266,546,39359,34487,0.59,11,1
APP00267,491,93359,36665,0.14,13,0
APP00268,637,192036,6793,0.17,14,0
APP00269,625,38278,48857,0.51,10,1
APP00270,462,92726,16702,0.39,3,0
APP00271,312,48578,16598,0.49,9,1
APP00272,383,188366,15552,0.42,5,0
APP00273,828,144802,23599,0.54,9,0
APP00274,530,159658,9714,0.42,12,0
APP00275,565,151254,21814,0.36,4,0
APP00276,557,141695,11289,0.46,5,0
APP00277,731,161533,3519,0.32,17,0
APP00278,335,31381,19068,0.27,7,1
APP00279,345,177128,33941,0.33,4,1
APP00280,451,155777,38392,0.18,14,0
APP00281,568,155704,18313,0.5,15,0
APP00282,669,96884,16863,0.23,17,0
APP00283,570,166148,39586,0.18,15,0
APP00284,543,94909,34378,0.22,20,0
APP00285,816,38323,41774,0.52,12,0
APP00286,388,184329,45399,0.27,6,0
APP00287,615,69871,41241,0.44,18,0
APP00288,598,47323,46888,0.53,5,1
APP00289,560,135723,21417,0.14,6,0
APP00290,744,69721,20339,0.48,17,0
APP00291,447,175882,16756,0.25,18,0
APP00292,825,105437,12526,0.21,7,0
APP00293,482,30765,37692,0.44,15,0
APP00294,600,191793,36008,0.55,19,0
APP00295,586,117487,40268,0.25,16,0
APP00296,768,74706,9202,0.38,0,0
APP00297,541,145139,25072,0.24,13,0
APP00298,456,120204,11876,0.38,3,0
APP00299,311,35033,44759,0.41,17,1
APP00300,500,159140,14103,0.41,1,0
APP00301,755,98230,8051,0.41,20,0
APP00302,305,148969,28923,0.17,3,1
APP00303,793,182258,44075,0.45,8,0
APP00304,599,133804,45871,0.44,4,0
APP00305,377,144174,5708,0.44,17,1
APP00306,466,73290,16969,0.14,8,1
APP00307,605,70402,8522,0.32,15,0
APP00308,473,100550,16085,0.3,1,0
APP00309,359,174973,27158,0.14,9,1
APP00310,666,119113,14748,0.21,19,0
APP00311,670,89165,4308,0.32,19,0
APP00312,365,162534,25991,0.47,4,1
APP00313,454,175069,3587,0.22,8,0
APP00314,434,183431,12108,0.51,8,0
APP00315,663,80820,1025,0.37,11,0
APP00316,702,150639,5254,0.48,11,0
APP00317,700,130355,22379,0.34,2,0
APP00318,817,106325,42685,0.35,16,0
APP00319,723,97480,38957,0.41,4,0
APP00320,476,49474,5842,0.56,6,1
APP00321,359,76720,2707,0.35,17,0
APP00322,638,123443,17566,0.36,14,0
APP00323,804,180715,32961,0.4,8,0
APP00324,837,177278,37590,0.47,19,0
APP00325,426,61891,41334,0.14,8,0
APP00326,430,145485,17768,0.36,11,0
APP00327,320,44418,9232,0.34,5,0
APP00328,377,144752,2291,0.56,3,0
APP00329,605,88127,8196,0.35,10,0
APP00330,601,106474,4192,0.33,11,0
APP00331,504,151999,43180,0.58,16,0
APP00332,470,102231,14152,0.33,8,1
APP00333,757,167264,41333,0.19,18,0
APP00334,553,120709,28105,0.21,12,0
APP00335,745,199787,27408,0.15,1,0
APP00336,830,138501,23285,0.1,15,0
APP00337,474,80381,41141,0.32,12,0
APP00338,411,161799,3129,0.48,8,0
APP00339,825,99350,5545,0.47,9,0
APP00340,649,120809,21746,0.12,6,0
APP00341,460,53259,20329,0.38,12,0
APP00342,642,50288,27734,0.18,11,0
APP00343,583,127728,37152,0.57,9,1
APP00344,798,61737,29790,0.18,5,0
APP00345,441,199589,13615,0.41,8,0
APP00346,846,175465,17037,0.26,10,0
APP00347,815,149150,37864,0.42,9,0
APP00348,399,154899,10872,0.31,6,0
APP00349,390,131186,25705,0.48,12,1
APP00350,593,40249,27401,0.22,4,1
APP00351,324,96703,37763,0.55,10,1
APP00352,464,114286,36004,0.35,2,1
APP00353,539,185601,23769,0.48,9,0
APP00354,834,67313,16149,0.52,16,0
APP00355,846,114476,19027,0.6,17,0
APP00356,383,88491,21168,0.21,14,0
APP00357,791,52842,11740,0.24,15,0
APP00358,350,47513,31645,0.23,1,1
APP00359,712,92114,11210,0.23,7,0
APP00360,765,44011,32785,0.39,13,0
APP00361,790,41418,37823,0.6,16,0
APP00362,423,89647,48131,0.6,12,1
APP00363,792,64336,6826,0.36,17,0
APP00364,363,124318,38227,0.42,5,1
APP00365,585,33003,5213,0.53,3,0
APP00366,558,81308,17525,0.57,1,0
APP00367,474,107058,9638,0.2,12,0
APP00368,312,193735,8952,0.36,13,1
APP00369,725,137872,9592,0.52,5,0
APP00370,484,179723,3153,0.25,16,0
APP00371,664,88360,41333,0.32,15,0
APP00372,526,106451,3995,0.59,7,0
APP00373,505,101465,20527,0.59,5,1
APP00374,788,180857,35259,0.55,15,0
APP00375,352,193066,49530,0.5,14,1
APP00376,705,193597,42832,0.23,3,0
APP00377,711,157834,7723,0.26,5,0
APP00378,509,115529,49400,0.37,10,0
APP00379,444,121946,33024,0.38,10,0
APP00380,302,196687,9799,0.35,3,1
APP00381,816,78372,22988,0.42,19,0
APP00382,822,88940,45977,0.3,8,0
APP00383,432,182490,20253,0.47,8,0
APP00384,317,95675,9998,0.27,1,1
APP00385,367,69966,43880,0.27,18,0
APP00386,337,125280,47696,0.16,4,1
APP00387,757,85308,48805,0.19,20,0
APP00388,791,181449,47830,0.53,10,0
APP00389,384,184541,43770,0.32,18,1
APP00390,711,82022,23270,0.21,3,0
APP00391,398,120022,10422,0.48,3,0
APP00392,502,197279,31241,0.38,16,0
APP00393,630,156194,11819,0.11,17,0
APP00394,696,66656,24185,0.26,11,0
APP00395,781,130427,33148,0.19,0,0
APP00396,324,135381,47383,0.43,19,1
APP00397,408,141085,15165,0.24,8,1
APP00398,454,34251,13344,0.13,19,0
APP00399,470,80895,37002,0.13,18,0
APP00400,849,175285,1316,0.39,17,0
APP00401,728,71033,28755,0.11,14,0
APP00402,476,80948,37550,0.52,14,0
APP00403,835,84824,27995,0.18,11,0
APP00404,575,60156,19814,0.4,0,0
APP00405,575,56425,41599,0.32,8,0
APP00406,538,88992,19181,0.32,15,0
APP00407,379,178634,35816,0.14,17,0
APP00408,814,30260,23743,0.5,11,0
APP00409,307,78152,2302,0.55,14,1
APP00410,396,40306,26995,0.11,0,0
APP00411,426,125453,3423,0.19,9,0
APP00412,453,72602,46617,0.55,10,1
APP00413,372,164636,30476,0.37,18,1
APP00414,309,129453,19229,0.18,6,1
APP00415,673,163250,24823,0.2,4,0
APP00416,834,137934,31340,0.43,7,0
APP00417,367,104526,13749,0.46,3,0
APP00418,463,176365,15131,0.4,11,1
APP00419,578,110964,21514,0.58,13,0
APP00420,811,191489,13670,0.35,16,0
APP00421,682,199100,38138,0.25,20,0
APP00422,722,130134,6087,0.34,1,0
APP00423,620,144682,41504,0.28,5,0
APP00424,529,73462,18078,0.21,6,0
APP00425,410,168489,28500,0.12,5,0
APP00426,776,144171,8730,0.28,17,0
APP00427,743,183435,19883,0.46,2,0
APP00428,313,75391,37976,0.11,0,0
APP00429,694,163891,14264,0.32,18,0
APP00430,346,109947,7481,0.42,20,0
APP00431,707,61480,26574,0.41,4,0
APP00432,755,59103,8962,0.49,6,0
APP00433,372,125569,16423,0.51,10,1
APP00434,539,84306,23073,0.46,11,1
APP00435,368,47322,28641,0.15,20,0
APP00436,612,102615,32330,0.34,8,0
APP00437,811,140997,34156,0.4,0,0
APP00438,344,84221,42370,0.22,8,1
APP00439,519,192410,4237,0.12,11,0
APP00440,836,162523,18754,0.21,10,0
APP00441,465,117164,1052,0.33,10,0
APP00442,372,188892,1462,0.31,19,1
APP00443,569,103605,11401,0.19,16,0
APP00444,580,53743,30309,0.51,5,0
APP00445,665,36093,44831,0.56,7,0
APP00446,472,189464,38904,0.2,14,0
APP00447,826,193162,32668,0.56,8,0
APP00448,587,155673,39130,0.11,8,0
APP00449,457,47510,9426,0.56,3,0
APP00450,829,79920,42152,0.58,5,0
APP00451,809,36983,44623,0.11,15,0
APP00452,575,38712,5657,0.48,17,1
APP00453,313,71831,24028,0.59,16,1
APP00454,628,127264,41672,0.55,6,0
APP00455,605,41140,24328,0.59,2,0
APP00456,381,197383,42183,0.38,3,0
APP00457,649,107370,46842,0.14,8,0
APP00458,763,74854,24259,0.52,10,0
APP00459,358,117735,3914,0.41,18,0
APP00460,698,164327,17662,0.41,18,0
APP00461,377,83137,11543,0.31,0,0
APP00462,712,38077,24232,0.39,14,1
APP00463,530,38663,29703,0.18,6,0
APP00464,303,174838,23731,0.47,4,1
APP00465,832,48972,10579,0.14,11,0
APP00466,391,138046,15757,0.46,0,0
APP00467,628,95366,34297,0.52,7,0
APP00468,399,162178,2322,0.34,11,0
APP00469,814,40289,11490,0.35,5,0
APP00470,706,182625,44725,0.26,12,0
APP00471,743,148692,5858,0.58,9,0
APP00472,538,106377,21322,0.47,16,0
APP00473,557,65193,11142,0.28,3,0
APP00474,649,196115,6127,0.19,1,0
APP00475,732,81352,21714,0.21,11,0
APP00476,766,113387,26551,0.33,5,0
APP00477,309,97001,9630,0.57,14,0
APP00478,665,69193,4811,0.47,1,0
APP00479,360,100824,7600,0.21,12,0
APP00480,458,55752,32926,0.53,20,0
APP00481,757,30282,43154,0.29,1,0
APP00482,438,79299,9834,0.53,6,0
APP00483,739,49052,16699,0.22,17,0
APP00484,555,100512,17847,0.41,11,0
APP00485,428,176670,18677,0.56,3,0
APP00486,484,57636,12970,0.23,4,0
APP00487,592,30209,3708,0.45,16,0
APP00488,721,48886,26733,0.59,18,0
APP00489,633,116388,18511,0.18,7,0
APP00490,814,76722,17770,0.14,9,0
APP00491,778,113215,13975,0.44,16,0
APP00492,715,34972,46538,0.27,3,0
APP00493,632,86626,30914,0.14,4,0
APP00494,459,99723,21516,0.34,16,0
APP00495,527,103326,11064,0.48,3,0
APP00496,365,123697,40255,0.24,16,0
APP00497,506,162699,44530,0.27,10,0
APP00498,810,109429,2583,0.52,20,0
APP00499,534,173005,46554,0.36,0,0
APP00500,362,120055,35272,0.52,19,1
APP00501,659,74259,5891,0.32,4,0
APP00502,830,68933,37905,0.58,0,1
APP00503,777,84823,6262,0.43,15,0
APP00504,451,131569,3492,0.16,11,0
APP00505,550,71222,6651,0.54,17,0
APP00506,592,185410,23532,0.34,2,0
APP00507,436,111577,31359,0.17,1,0
APP00508,448,176757,20959,0.18,11,0
APP00509,430,146154,6976,0.44,18,0
APP00510,848,86670,10759,0.12,8,0
APP00511,711,68803,42767,0.24,16,0
APP00512,763,156471,48169,0.17,19,0
APP00513,749,86225,37960,0.32,18,0
APP00514,828,71967,6067,0.31,10,0
APP00515,358,188166,41171,0.36,14,0
APP00516,785,112047,34908,0.24,11,0
APP00517,336,38256,26777,0.12,14,1
APP00518,561,114110,8018,0.41,11,0
APP00519,627,108331,49838,0.29,11,0
APP00520,497,176875,22688,0.43,9,0
APP00521,380,150965,3164,0.15,13,0
APP00522,405,62530,11288,0.11,15,0
APP00523,754,55577,20662,0.22,19,0
APP00524,475,132611,4054,0.33,12,0
APP00525,470,38053,16873,0.3,2,0
APP00526,808,84233,23952,0.51,12,0
APP00527,379,53495,47484,0.29,6,1
APP00528,804,33495,5232,0.37,0,0
APP00529,807,186200,29266,0.4,1,0
APP00530,629,45269,45873,0.11,12,0
APP00531,391,31574,40504,0.36,19,1
APP00532,385,188592,46323,0.27,10,0
APP00533,456,62014,9346,0.31,9,0
APP00534,618,168815,40266,0.15,1,0
APP00535,384,35318,48954,0.49,14,1
APP00536,551,56104,16975,0.57,1,1
APP00537,363,48807,25433,0.11,17,0
APP00538,597,150065,27011,0.4,17,0
APP00539,311,135425,25190,0.48,20,1
APP00540,690,110835,15199,0.24,5,0
APP00541,330,71078,48574,0.49,3,1
APP00542,407,45106,47869,0.42,6,0
APP00543,396,126766,19656,0.56,16,1
APP00544,757,69221,40460,0.59,4,0
APP00545,329,130333,20479,0.12,18,0
APP00546,536,146870,39946,0.32,3,0
APP00547,625,174404,29653,0.37,1,0
APP00548,584,113977,24038,0.17,4,0
APP00549,675,30806,7274,0.27,15,0
APP00550,742,77713,33075,0.59,12,0
APP00551,516,175073,16733,0.11,7,0
APP00552,756,120653,11626,0.33,13,0
APP00553,475,135250,10467,0.52,13,0
APP00554,842,107830,49112,0.26,11,0
APP00555,577,57666,6060,0.34,10,0
APP00556,705,182440,40128,0.59,2,0
APP00557,782,161400,43441,0.34,5,0
APP00558,736,199182,2521,0.17,11,0
APP00559,768,175434,29877,0.13,2,0
APP00560,595,79492,29293,0.57,9,0
APP00561,323,73225,18575,0.23,2,1
APP00562,571,72240,33669,0.35,16,0
APP00563,400,186195,21025,0.15,2,1
APP00564,789,124679,22545,0.31,1,0
APP00565,430,107258,22144,0.57,13,0
APP00566,425,194605,40233,0.35,4,0
APP00567,437,132582,32024,0.59,7,1
APP00568,654,184604,19573,0.23,6,0
APP00569,614,197391,46412,0.35,4,0
APP00570,822,43505,40301,0.53,15,0
APP00571,529,91461,46707,0.32,14,1
APP00572,455,154804,36795,0.24,5,0
APP00573,327,168237,20183,0.53,14,1
APP00574,303,55242,38874,0.29,14,1
APP00575,505,84128,17134,0.37,11,0
APP00576,810,123189,14275,0.59,12,0
APP00577,588,165867,23101,0.19,19,0
APP00578,792,49204,48496,0.25,9,0
APP00579,356,132125,28829,0.12,8,1
APP00580,351,80395,19801,0.3,11,0
APP00581,759,66780,23629,0.2,17,0
APP00582,358,117618,15269,0.44,14,0
APP00583,328,100384,33279,0.19,1,1
APP00584,522,138071,18171,0.44,9,0
APP00585,809,83998,28166,0.23,15,0
APP00586,679,169957,19121,0.28,4,0
APP00587,354,43278,16715,0.27,20,0
APP00588,761,176520,48542,0.46,16,0
APP00589,764,35071,17941,0.33,17,0
APP00590,741,155103,4455,0.28,1,0
APP00591,797,88901,19551,0.53,12,0
APP00592,432,95167,27075,0.39,11,0
APP00593,839,33235,5637,0.21,13,0
APP00594,476,149357,15978,0.55,17,1
APP00595,741,58133,9137,0.27,7,0
APP00596,619,142057,25532,0.12,11,0
APP00597,729,153281,36433,0.35,14,0
APP00598,645,173691,48456,0.16,15,0
APP00599,654,150376,20066,0.22,16,0
APP00600,639,81255,43300,0.47,7,0
APP00601,729,155559,11512,0.17,20,0
APP00602,707,170412,39245,0.5,0,0
APP00603,374,83916,28571,0.57,10,1
APP00604,755,51110,38151,0.4,12,0
APP00605,595,181304,38022,0.46,1,1
APP00606,478,55149,27089,0.46,9,1
APP00607,583,130951,13613,0.6,12,0
APP00608,832,70167,26783,0.27,12,0
APP00609,772,51424,41513,0.18,2,0
APP00610,759,161991,48563,0.36,5,0
APP00611,555,54432,46448,0.37,5,1
APP00612,732,143939,9892,0.19,13,0
APP00613,512,147826,30272,0.41,6,0
APP00614,678,40238,6125,0.11,12,0
APP00615,652,59400,33779,0.56,15,0
APP00616,437,165042,49625,0.23,16,0
APP00617,446,116240,3576,0.12,3,0
APP00618,333,50629,33172,0.15,18,1
APP00619,377,198602,47331,0.22,3,0
APP00620,538,75048,42512,0.24,0,0
APP00621,563,30681,20232,0.12,0,0
APP00622,390,187109,6092,0.24,4,0
APP00623,529,32818,46272,0.2,18,0
APP00624,632,124071,46145,0.29,4,0
APP00625,428,198825,29370,0.29,14,0
APP00626,486,128228,48966,0.27,8,0
APP00627,502,129389,1226,0.26,0,0
APP00628,578,95990,31214,0.14,9,0
APP00629,501,51574,2888,0.11,0,0
APP00630,706,127358,46849,0.2,9,0
APP00631,480,182542,34341,0.48,11,0
APP00632,539,45487,45758,0.6,10,0
APP00633,509,179665,28571,0.56,5,0
APP00634,400,100558,5079,0.35,16,0
APP00635,677,121154,2300,0.37,12,0
APP00636,429,58118,17443,0.26,5,0
APP00637,463,135705,37430,0.49,9,1
APP00638,736,61000,8400,0.48,2,0
APP00639,822,76442,42755,0.52,19,0
APP00640,669,152674,12734,0.55,15,0
APP00641,804,38588,25324,0.32,6,0
APP00642,770,106021,10951,0.48,14,0
APP00643,564,131077,23822,0.5,14,0
APP00644,724,52444,23156,0.25,12,0
APP00645,480,80108,1268,0.56,1,0
APP00646,553,88395,28823,0.15,18,0
APP00647,595,142816,39546,0.6,20,0
APP00648,829,196041,46878,0.49,20,0
APP00649,767,172162,17205,0.15,20,0
APP00650,569,62260,44149,0.43,19,0
APP00651,659,33087,44060,0.12,15,0
APP00652,411,38825,49431,0.49,1,1
APP00653,743,131271,19280,0.5,9,0
APP00654,604,56564,42694,0.4,5,0
APP00655,593,69317,28689,0.53,4,1
APP00656,722,174057,3855,0.15,17,0
APP00657,648,178561,14247,0.24,17,0
APP00658,339,172636,33931,0.31,10,0
APP00659,458,73123,8868,0.12,15,0
APP00660,397,135347,22302,0.32,2,1
APP00661,704,133831,38971,0.23,4,0
APP00662,319,61492,8338,0.3,18,0
